"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes"
"idBank";"010767602";"";"010767602";""
"Mises à jour";"05/04/2024 08:45";"";"05/03/2024 08:45";""
"Période";"";"";"";""
"2024-02";"99.11";"A";"";""
"2024-01";"98.52";"A";"98.69";"A"
"2023-12";"97.3";"A";"97.25";"A"
"2023-11";"95.61";"A";"95.71";"A"
"2023-10";"97.33";"A";"97.28";"A"
"2023-09";"96.58";"A";"96.52";"A"
"2023-08";"98.34";"A";"98.33";"A"
"2023-07";"98.49";"A";"98.61";"A"
"2023-06";"98.93";"A";"99.01";"A"
"2023-05";"98.58";"A";"98.61";"A"
"2023-04";"97.78";"A";"97.72";"A"
"2023-03";"98.55";"A";"98.47";"A"
"2023-02";"97.85";"A";"97.99";"A"
"2023-01";"97.46";"A";"97.53";"A"
"2022-12";"98.31";"A";"98.23";"A"
"2022-11";"100.26";"A";"100.24";"A"
"2022-10";"99.09";"A";"98.97";"A"
"2022-09";"98.6";"A";"98.6";"A"
"2022-08";"98.95";"A";"98.9";"A"
"2022-07";"99.09";"A";"99.04";"A"
"2022-06";"99.17";"A";"99.19";"A"
"2022-05";"97.58";"A";"97.61";"A"
"2022-04";"98.73";"A";"98.79";"A"
"2022-03";"100.41";"A";"100.45";"A"
"2022-02";"100.8";"A";"100.91";"A"
"2022-01";"101.39";"A";"101.41";"A"
"2021-12";"100.43";"A";"100.36";"A"
"2021-11";"101.8";"A";"101.78";"A"
"2021-10";"100.61";"A";"100.52";"A"
"2021-09";"99.85";"A";"99.87";"A"
"2021-08";"100.03";"A";"100.02";"A"
"2021-07";"100.98";"A";"101.03";"A"
"2021-06";"99.54";"A";"99.53";"A"
"2021-05";"98.93";"A";"98.96";"A"
"2021-04";"99.04";"A";"99.11";"A"
"2021-03";"100.21";"A";"100.22";"A"
"2021-02";"98.29";"A";"98.32";"A"
"2021-01";"100.28";"A";"100.29";"A"
"2020-12";"97.79";"A";"97.75";"A"
"2020-11";"98.5";"A";"98.52";"A"
"2020-10";"98.39";"A";"98.37";"A"
"2020-09";"99.36";"A";"99.38";"A"
"2020-08";"98.29";"A";"98.28";"A"
"2020-07";"99.48";"A";"99.47";"A"
"2020-06";"99.53";"A";"99.55";"A"
"2020-05";"96.7";"A";"96.71";"A"
"2020-04";"95.99";"A";"96.02";"A"
"2020-03";"99.11";"A";"99.14";"A"
"2020-02";"100.94";"A";"101.21";"A"
"2020-01";"99.42";"A";"99.46";"A"
"2019-12";"99.66";"A";"99.66";"A"
"2019-11";"99.52";"A";"99.52";"A"
"2019-10";"100.17";"A";"100.17";"A"
"2019-09";"100.7";"A";"100.74";"A"
"2019-08";"98.33";"A";"98.32";"A"
"2019-07";"98.09";"A";"98.06";"A"
"2019-06";"99.01";"A";"99.03";"A"
"2019-05";"100.03";"A";"100.09";"A"
"2019-04";"100.52";"A";"100.53";"A"
"2019-03";"98.59";"A";"98.61";"A"
"2019-02";"99.6";"A";"99.57";"A"
"2019-01";"100.5";"A";"100.52";"A"
"2018-12";"100.16";"A";"100.12";"A"
"2018-11";"98.46";"A";"98.46";"A"
"2018-10";"99.44";"A";"99.42";"A"
"2018-09";"98.56";"A";"98.59";"A"
"2018-08";"99.37";"A";"99.4";"A"
"2018-07";"98.87";"A";"98.88";"A"
"2018-06";"98.92";"A";"98.91";"A"
"2018-05";"100.0";"A";"100.03";"A"
"2018-04";"100.34";"A";"100.34";"A"
"2018-03";"100.53";"A";"100.58";"A"
"2018-02";"99.1";"A";"99.05";"A"
"2018-01";"99.41";"A";"99.41";"A"
"2017-12";"99.5";"A";"99.47";"A"
"2017-11";"99.41";"A";"99.46";"A"
"2017-10";"99.16";"A";"99.17";"A"
"2017-09";"100.32";"A";"100.33";"A"
"2017-08";"100.16";"A";"100.18";"A"
"2017-07";"99.18";"A";"99.19";"A"
"2017-06";"98.37";"A";"98.42";"A"
"2017-05";"100.03";"A";"100.04";"A"
"2017-04";"98.5";"A";"98.49";"A"
"2017-03";"99.42";"A";"99.44";"A"
"2017-02";"99.1";"A";"99.04";"A"
